,10,100,150,200,25,300,400,5,50,500,600,full-sampling
Cluster_0-CrossR-Replica_1,-2.443254,-2.365492,-2.398825,-2.401373,-2.410569,-2.406337,-2.406032,-2.44255,-2.367515,-2.423809,-2.41914,-2.414817
Cluster_0-CrossR-Replica_10,-2.436613,-2.408444,-2.394019,-2.402376,-2.368977,-2.418929,-2.386387,-2.353535,-2.432614,-2.411303,-2.403374,-2.414817
Cluster_0-CrossR-Replica_2,-2.40769,-2.384331,-2.391,-2.411865,-2.360121,-2.427634,-2.408493,-2.391546,-2.390812,-2.420287,-2.410923,-2.414817
Cluster_0-CrossR-Replica_3,-2.24977,-2.397293,-2.408393,-2.424325,-2.35519,-2.430223,-2.42385,-2.439902,-2.446326,-2.403474,-2.413102,-2.414817
Cluster_0-CrossR-Replica_4,-2.400378,-2.40877,-2.400703,-2.433271,-2.430194,-2.411541,-2.42385,-2.424867,-2.425647,-2.408926,-2.412741,-2.414817
Cluster_0-CrossR-Replica_5,-2.348844,-2.415887,-2.427689,-2.427405,-2.390451,-2.392301,-2.407424,-2.305084,-2.412658,-2.404765,-2.424461,-2.414817
Cluster_0-CrossR-Replica_6,-2.401581,-2.398163,-2.433346,-2.379609,-2.371626,-2.400239,-2.396873,-2.388251,-2.395233,-2.403163,-2.412516,-2.414817
Cluster_0-CrossR-Replica_7,-2.498165,-2.414048,-2.438776,-2.412358,-2.374858,-2.400197,-2.410616,-2.260519,-2.415741,-2.417075,-2.407193,-2.414817
Cluster_0-CrossR-Replica_8,-2.40074,-2.399167,-2.406599,-2.421504,-2.425073,-2.416663,-2.422549,-2.307288,-2.374619,-2.406359,-2.428089,-2.414817
Cluster_0-CrossR-Replica_9,-2.457616,-2.400152,-2.419961,-2.386057,-2.378281,-2.43219,-2.431261,-2.4485,-2.418085,-2.414196,-2.411002,-2.414817
Cluster_1-CrossR-Replica_1,-2.147298,-2.19845,-2.210286,-2.212632,-2.172268,-2.238386,-2.221266,-2.314309,-2.197914,-2.227519,-2.226633,-2.225144
Cluster_1-CrossR-Replica_10,-2.154917,-2.225821,-2.211708,-2.23128,-2.174015,-2.248607,-2.215529,-2.083282,-2.221515,-2.219037,-2.216203,-2.225144
Cluster_1-CrossR-Replica_2,-2.214391,-2.177431,-2.220818,-2.217075,-2.238187,-2.227831,-2.209577,-2.270168,-2.213316,-2.238683,-2.235993,-2.225144
Cluster_1-CrossR-Replica_3,-2.161561,-2.18495,-2.211815,-2.219588,-2.199878,-2.219401,-2.231744,-2.23883,-2.241716,-2.20096,-2.227439,-2.225144
Cluster_1-CrossR-Replica_4,-2.194719,-2.205703,-2.198927,-2.23825,-2.302505,-2.214763,-2.239688,-2.295537,-2.20907,-2.218519,-2.216472,-2.225144
Cluster_1-CrossR-Replica_5,-2.248465,-2.188904,-2.250152,-2.237342,-2.249161,-2.206219,-2.211086,-1.989348,-2.224858,-2.20941,-2.219481,-2.225144
Cluster_1-CrossR-Replica_6,-2.267229,-2.227432,-2.241308,-2.212766,-2.191418,-2.21318,-2.21447,-2.000182,-2.202131,-2.216614,-2.229559,-2.225144
Cluster_1-CrossR-Replica_7,-2.254756,-2.23221,-2.226568,-2.206655,-2.158928,-2.200007,-2.213784,-1.978363,-2.244236,-2.224097,-2.223212,-2.225144
Cluster_1-CrossR-Replica_8,-2.0931,-2.195954,-2.214445,-2.230911,-2.266291,-2.226011,-2.230509,-2.168966,-2.204996,-2.212124,-2.238173,-2.225144
Cluster_1-CrossR-Replica_9,-2.230174,-2.211459,-2.228057,-2.210823,-2.185988,-2.223671,-2.22775,-2.202008,-2.214969,-2.214029,-2.228182,-2.225144
Cluster_2-CrossR-Replica_1,-2.120337,-2.152753,-2.205124,-2.21916,-2.236418,-2.209524,-2.198913,-1.912887,-2.171483,-2.182457,-2.180582,-2.201146
Cluster_2-CrossR-Replica_10,-2.148885,-2.220505,-2.222485,-2.179432,-2.33103,-2.185914,-2.21717,-2.056383,-2.172791,-2.19488,-2.188783,-2.201146
Cluster_2-CrossR-Replica_2,-2.19224,-2.138744,-2.266536,-2.212588,-2.132867,-2.214656,-2.187076,-2.113436,-2.191045,-2.197338,-2.210435,-2.201146
Cluster_2-CrossR-Replica_3,-2.031495,-2.180831,-2.173597,-2.18513,-2.291025,-2.179796,-2.183367,-1.986916,-2.24873,-2.203343,-2.190179,-2.201146
Cluster_2-CrossR-Replica_4,-2.234599,-2.22245,-2.133269,-2.221116,-2.172159,-2.219865,-2.185162,-2.202613,-2.175696,-2.197878,-2.202483,-2.201146
Cluster_2-CrossR-Replica_5,-2.229373,-2.211756,-2.206404,-2.146867,-2.190952,-2.168943,-2.215277,-2.09288,-2.194699,-2.18921,-2.171563,-2.201146
Cluster_2-CrossR-Replica_6,-2.059306,-2.168552,-2.193817,-2.229876,-2.202745,-2.21092,-2.217751,-2.435178,-2.201375,-2.183753,-2.218472,-2.201146
Cluster_2-CrossR-Replica_7,-2.051456,-2.196316,-2.173117,-2.199885,-2.127501,-2.167545,-2.218008,-2.223562,-2.108121,-2.176557,-2.212943,-2.201146
Cluster_2-CrossR-Replica_8,-2.027315,-2.180625,-2.159168,-2.190844,-2.156792,-2.221145,-2.181257,-2.401762,-2.119888,-2.211064,-2.19769,-2.201146
Cluster_2-CrossR-Replica_9,-2.266108,-2.170636,-2.229272,-2.221454,-2.131242,-2.193216,-2.187163,-2.153391,-2.122579,-2.191114,-2.223561,-2.201146
